Model,R2,MAE,RMSE
Linear Regression,0.7835929767120724,4181.19447375365,5796.284659276273
Decision Tree,0.7265877305258355,3195.1104733805973,6515.129162967606
Random Forest,0.8651034329144947,2550.0784706115096,4576.299916157115
Ridge Regression,0.7832830144988215,4193.585298299822,5800.434215796178
Lasso Regression,0.7835924268063132,4181.206789661176,5796.2920236590035
